name,author,user_rating,reviews,price,year,genre
the 7 habits of highly effective people: powerful lessons in personal change,stephen r. covey,4.6,9325,24,2013,non fiction
the 7 habits of highly effective people: powerful lessons in personal change,stephen r. covey,4.7,4725,16,2015,non fiction
the 7 habits of highly effective people: powerful lessons in personal change,stephen r. covey,4.7,4725,16,2016,non fiction
the 7 habits of highly effective people: powerful lessons in personal change,stephen r. covey,4.7,4725,16,2017,non fiction
the alchemist,paulo coelho,4.7,35799,39,2014,fiction
the amateur,edward klein,4.6,2580,9,2012,non fiction
the art of racing in the rain: a novel,garth stein,4.7,11813,10,2010,fiction
the art of racing in the rain: a novel,garth stein,4.7,11813,10,2011,fiction
the big short: inside the doomsday machine,michael lewis,4.7,3536,17,2010,non fiction
the blood of olympus (the heroes of olympus (5)),rick riordan,4.8,6600,11,2014,fiction
"the blood sugar solution: the ultrahealthy program for losing weight, preventing disease, and feeling great now!",mark hyman m.d.,4.2,1789,14,2012,non fiction
"the body keeps the score: brain, mind, and body in the healing of trauma",bessel van der kolk m.d.,4.8,12361,12,2019,non fiction
the book of basketball: the nba according to the sports guy,bill simmons,4.7,858,53,2009,non fiction
the book thief,markus zusak,4.6,23148,6,2013,fiction
the book thief,markus zusak,4.6,23148,6,2014,fiction
the book with no pictures,b. j. novak,4.8,8081,8,2014,fiction
the book with no pictures,b. j. novak,4.8,8081,8,2015,fiction
the boys in the boat: nine americans and their epic quest for gold at the 1936 berlin olympics,daniel james brown,4.8,23358,12,2014,non fiction
the boys in the boat: nine americans and their epic quest for gold at the 1936 berlin olympics,daniel james brown,4.8,23358,12,2015,non fiction
the casual vacancy,j.k. rowling,3.3,9372,12,2012,fiction
the china study: the most comprehensive study of nutrition ever conducted and the startling implications for diet…,thomas campbell,4.7,4633,21,2011,non fiction
the complete ketogenic diet for beginners: your essential guide to living the keto lifestyle,amy ramos,4.3,13061,6,2018,non fiction
the complete ketogenic diet for beginners: your essential guide to living the keto lifestyle,amy ramos,4.3,13061,6,2019,non fiction
the confession: a novel,john grisham,4.3,3523,13,2010,fiction
the constitution of the united states,delegates of the constitutional,4.8,2774,0,2016,non fiction
the daily show with jon stewart presents earth (the book): a visitor's guide to the human race,jon stewart,4.4,440,11,2010,non fiction
the day the crayons quit,drew daywalt,4.8,8922,9,2013,fiction
the day the crayons quit,drew daywalt,4.8,8922,9,2014,fiction
the day the crayons quit,drew daywalt,4.8,8922,9,2015,fiction
"the dukan diet: 2 steps to lose the weight, 2 steps to keep it off forever",pierre dukan,4.1,2023,15,2011,non fiction
the elegance of the hedgehog,muriel barbery,4.0,1859,11,2009,fiction
the fault in our stars,john green,4.7,50482,13,2012,fiction
the fault in our stars,john green,4.7,50482,13,2013,fiction
the fault in our stars,john green,4.7,50482,7,2014,fiction
the fault in our stars,john green,4.7,50482,13,2014,fiction
the five dysfunctions of a team: a leadership fable,patrick lencioni,4.6,3207,6,2009,non fiction
the five dysfunctions of a team: a leadership fable,patrick lencioni,4.6,3207,6,2010,non fiction
the five dysfunctions of a team: a leadership fable,patrick lencioni,4.6,3207,6,2011,non fiction
the five dysfunctions of a team: a leadership fable,patrick lencioni,4.6,3207,6,2012,non fiction
the five dysfunctions of a team: a leadership fable,patrick lencioni,4.6,3207,6,2013,non fiction
the five love languages: how to express heartfelt commitment to your mate,gary chapman,4.6,803,9,2009,non fiction
the four agreements: a practical guide to personal freedom (a toltec wisdom book),don miguel ruiz,4.7,23308,6,2013,non fiction
the four agreements: a practical guide to personal freedom (a toltec wisdom book),don miguel ruiz,4.7,23308,6,2015,non fiction
the four agreements: a practical guide to personal freedom (a toltec wisdom book),don miguel ruiz,4.7,23308,6,2016,non fiction
the four agreements: a practical guide to personal freedom (a toltec wisdom book),don miguel ruiz,4.7,23308,6,2017,non fiction
the four agreements: a practical guide to personal freedom (a toltec wisdom book),don miguel ruiz,4.7,23308,6,2018,non fiction
the four agreements: a practical guide to personal freedom (a toltec wisdom book),don miguel ruiz,4.7,23308,6,2019,non fiction
the getaway,jeff kinney,4.8,5836,0,2017,fiction
the girl on the train,paula hawkins,4.1,79446,18,2015,fiction
the girl on the train,paula hawkins,4.1,79446,7,2016,fiction
the girl who kicked the hornet's nest (millennium trilogy),stieg larsson,4.7,7747,14,2010,fiction
the girl who kicked the hornet's nest (millennium trilogy),stieg larsson,4.7,7747,14,2011,fiction
the girl who played with fire (millennium series),stieg larsson,4.7,7251,9,2010,fiction
the girl who played with fire (millennium),stieg larsson,4.7,7251,16,2009,fiction
the girl with the dragon tattoo (millennium series),stieg larsson,4.4,10559,2,2009,fiction
the girl with the dragon tattoo (millennium series),stieg larsson,4.4,10559,2,2010,fiction
the going-to-bed book,sandra boynton,4.8,5249,5,2016,fiction
the going-to-bed book,sandra boynton,4.8,5249,5,2017,fiction
the goldfinch: a novel (pulitzer prize for fiction),donna tartt,3.9,33844,20,2013,fiction
the goldfinch: a novel (pulitzer prize for fiction),donna tartt,3.9,33844,20,2014,fiction
the great gatsby,f. scott fitzgerald,4.4,11616,7,2012,fiction
the great gatsby,f. scott fitzgerald,4.4,11616,7,2013,fiction
the great gatsby,f. scott fitzgerald,4.4,11616,7,2014,fiction
the guardians: a novel,john grisham,4.5,13609,14,2019,fiction
the guernsey literary and potato peel pie society,mary ann shaffer,4.7,8587,10,2009,fiction
the handmaid's tale,margaret atwood,4.3,29442,7,2017,fiction
the harbinger: the ancient mystery that holds the secret of america's future,jonathan cahn,4.6,11098,13,2012,fiction
the hate u give,angie thomas,4.8,9947,11,2018,fiction
the help,kathryn stockett,4.8,13871,6,2009,fiction
the help,kathryn stockett,4.8,13871,6,2010,fiction
the help,kathryn stockett,4.8,13871,8,2011,fiction
the help,kathryn stockett,4.8,13871,7,2011,fiction
"the house of hades (heroes of olympus, book 4)",rick riordan,4.8,6982,14,2013,fiction
the hunger games,suzanne collins,4.7,32122,14,2010,fiction
the hunger games (book 1),suzanne collins,4.7,32122,8,2011,fiction
the hunger games (book 1),suzanne collins,4.7,32122,8,2012,fiction
the hunger games trilogy boxed set (1),suzanne collins,4.8,16949,30,2011,fiction
the hunger games trilogy boxed set (1),suzanne collins,4.8,16949,30,2012,fiction
the immortal life of henrietta lacks,rebecca skloot,4.7,9289,13,2010,non fiction
the immortal life of henrietta lacks,rebecca skloot,4.7,9289,9,2011,non fiction
the immortal life of henrietta lacks,rebecca skloot,4.7,9289,9,2012,non fiction
the instant pot electric pressure cooker cookbook: easy recipes for fast & healthy meals,laurel randolph,4.3,7368,7,2017,non fiction
the instant pot electric pressure cooker cookbook: easy recipes for fast & healthy meals,laurel randolph,4.3,7368,7,2018,non fiction
the last lecture,randy pausch,4.7,4028,9,2009,non fiction
"the last olympian (percy jackson and the olympians, book 5)",rick riordan,4.8,4628,7,2009,fiction
"the last olympian (percy jackson and the olympians, book 5)",rick riordan,4.8,4628,7,2010,fiction
the legend of zelda: hyrule historia,patrick thorpe,4.9,5396,20,2013,fiction
the lego ideas book: unlock your imagination,daniel lipkowitz,4.4,4247,13,2011,non fiction
the lego ideas book: unlock your imagination,daniel lipkowitz,4.4,4247,13,2012,non fiction
the life-changing magic of tidying up: the japanese art of decluttering and organizing,marie kondō,4.5,22641,11,2015,non fiction
the life-changing magic of tidying up: the japanese art of decluttering and organizing,marie kondō,4.5,22641,11,2016,non fiction
the life-changing magic of tidying up: the japanese art of decluttering and organizing,marie kondō,4.5,22641,11,2017,non fiction
the life-changing magic of tidying up: the japanese art of decluttering and organizing,marie kondō,4.5,22641,11,2019,non fiction
the litigators,john grisham,4.4,6222,18,2011,fiction
"the lost hero (heroes of olympus, book 1)",rick riordan,4.8,4506,14,2010,fiction
the lost symbol,dan brown,4.2,8747,19,2009,fiction
the love dare,stephen kendrick,4.8,1655,13,2009,non fiction
the magnolia story,chip gaines,4.9,7861,5,2016,non fiction
"the mark of athena (heroes of olympus, book 3)",rick riordan,4.8,6247,10,2012,fiction
the martian,andy weir,4.7,39459,9,2015,fiction
the maze runner (book 1),james dashner,4.5,10101,8,2014,fiction
the meltdown (diary of a wimpy kid book 13),jeff kinney,4.8,5898,8,2018,fiction
the mueller report,the washington post,4.6,2744,12,2019,non fiction
the nightingale: a novel,kristin hannah,4.8,49288,11,2015,fiction
the nightingale: a novel,kristin hannah,4.8,49288,11,2016,fiction
the official sat study guide,the college board,4.4,1201,40,2010,non fiction
the official sat study guide,the college board,4.4,1201,40,2011,non fiction
the official sat study guide,the college board,4.4,1201,40,2012,non fiction
the official sat study guide,the college board,4.4,1201,40,2013,non fiction
the official sat study guide,the college board,4.4,1201,40,2014,non fiction
"the official sat study guide, 2016 edition (official study guide for the new sat)",the college board,4.3,807,36,2016,non fiction
the paris wife: a novel,paula mclain,4.3,3759,16,2011,fiction
"the pioneer woman cooks: a year of holidays: 140 step-by-step recipes for simple, scrumptious celebrations",ree drummond,4.8,2663,17,2013,non fiction
"the pioneer woman cooks: dinnertime - comfort classics, freezer food, 16-minute meals, and other delicious ways to solve…",ree drummond,4.8,3428,14,2015,non fiction
the pioneer woman cooks: food from my frontier,ree drummond,4.8,2876,21,2012,non fiction
"the plant paradox cookbook: 100 delicious recipes to help you lose weight, heal your gut, and live lectin-free",dr. steven r gundry md,4.5,3601,18,2018,non fiction
"the plant paradox: the hidden dangers in ""healthy"" foods that cause disease and weight gain",dr. steven r gundry md,4.4,7058,17,2018,non fiction
the pout-pout fish,deborah diesen,4.8,9784,5,2017,fiction
the pout-pout fish,deborah diesen,4.8,9784,5,2018,fiction
the power of habit: why we do what we do in life and business,charles duhigg,4.6,10795,21,2012,non fiction
the president is missing: a novel,james patterson,4.3,10191,18,2018,fiction
the racketeer,john grisham,4.3,14493,18,2012,fiction
"the red pyramid (the kane chronicles, book 1)",rick riordan,4.6,2186,12,2010,fiction
"the road to serfdom: text and documents--the definitive edition (the collected works of f. a. hayek, volume 2)",f. a. hayek,4.6,1204,14,2010,non fiction
"the serpent's shadow (the kane chronicles, book 3)",rick riordan,4.8,2091,12,2012,fiction
the shack: where tragedy confronts eternity,william p. young,4.6,19720,8,2009,fiction
the shack: where tragedy confronts eternity,william p. young,4.6,19720,8,2017,fiction
the short second life of bree tanner: an eclipse novella (the twilight saga),stephenie meyer,4.6,2122,0,2010,fiction
the silent patient,alex michaelides,4.5,27536,14,2019,fiction
"the son of neptune (heroes of olympus, book 2)",rick riordan,4.8,4290,10,2011,fiction
the subtle art of not giving a f*ck: a counterintuitive approach to living a good life,mark manson,4.6,26490,15,2017,non fiction
the subtle art of not giving a f*ck: a counterintuitive approach to living a good life,mark manson,4.6,26490,15,2018,non fiction
the subtle art of not giving a f*ck: a counterintuitive approach to living a good life,mark manson,4.6,26490,15,2019,non fiction
the sun and her flowers,rupi kaur,4.7,5487,9,2017,non fiction
"the third wheel (diary of a wimpy kid, book 7)",jeff kinney,4.7,6377,7,2012,fiction
"the throne of fire (the kane chronicles, book 2)",rick riordan,4.7,1463,10,2011,fiction
the time traveler's wife,audrey niffenegger,4.4,3759,6,2009,fiction
the tipping point: how little things can make a big difference,malcolm gladwell,4.4,3503,9,2009,non fiction
the total money makeover: classic edition: a proven plan for financial fitness,dave ramsey,4.7,11550,10,2019,non fiction
the twilight saga collection,stephenie meyer,4.7,3801,82,2009,fiction
"the ugly truth (diary of a wimpy kid, book 5)",jeff kinney,4.8,3796,12,2010,fiction
the unofficial harry potter cookbook: from cauldron cakes to knickerbocker glory--more than 150 magical recipes for…,dinah bucholz,4.7,9030,10,2019,non fiction
the very hungry caterpillar,eric carle,4.9,19546,5,2013,fiction
the very hungry caterpillar,eric carle,4.9,19546,5,2014,fiction
the very hungry caterpillar,eric carle,4.9,19546,5,2015,fiction
the very hungry caterpillar,eric carle,4.9,19546,5,2016,fiction
the very hungry caterpillar,eric carle,4.9,19546,5,2017,fiction
the very hungry caterpillar,eric carle,4.9,19546,5,2018,fiction
the very hungry caterpillar,eric carle,4.9,19546,5,2019,fiction
the whole30: the 30-day guide to total health and food freedom,melissa hartwig urban,4.6,7508,16,2015,non fiction
the whole30: the 30-day guide to total health and food freedom,melissa hartwig urban,4.6,7508,16,2016,non fiction
the whole30: the 30-day guide to total health and food freedom,melissa hartwig urban,4.6,7508,16,2017,non fiction
the wonderful things you will be,emily winfield martin,4.9,8842,10,2016,fiction
the wonderful things you will be,emily winfield martin,4.9,8842,10,2017,fiction
the wonderful things you will be,emily winfield martin,4.9,8842,10,2018,fiction
the wonderful things you will be,emily winfield martin,4.9,8842,10,2019,fiction
the wonky donkey,craig smith,4.8,30183,4,2018,fiction
the wonky donkey,craig smith,4.8,30183,4,2019,fiction
the wright brothers,david mccullough,4.7,6169,16,2015,non fiction
"things that matter: three decades of passions, pastimes and politics [deckled edge]",charles krauthammer,4.7,7034,15,2013,non fiction
"thinking, fast and slow",daniel kahneman,4.6,11034,19,2011,non fiction
"thinking, fast and slow",daniel kahneman,4.6,11034,19,2012,non fiction
thirteen reasons why,jay asher,4.5,7932,9,2017,fiction
thomas jefferson: the art of power,jon meacham,4.5,1904,23,2012,non fiction
three cups of tea: one man's mission to promote peace - one school at a time,greg mortenson,4.3,3319,11,2009,non fiction
three cups of tea: one man's mission to promote peace - one school at a time,greg mortenson,4.3,3319,11,2010,non fiction
thug kitchen: the official cookbook: eat like you give a f*ck (thug kitchen cookbooks),thug kitchen,4.6,11128,23,2014,non fiction
thug kitchen: the official cookbook: eat like you give a f*ck (thug kitchen cookbooks),thug kitchen,4.6,11128,23,2015,non fiction
thug kitchen: the official cookbook: eat like you give a f*ck (thug kitchen cookbooks),thug kitchen,4.6,11128,23,2016,non fiction
thug kitchen: the official cookbook: eat like you give a f*ck (thug kitchen cookbooks),thug kitchen,4.6,11128,23,2017,non fiction
tina fey: bossypants,tina fey,4.3,5977,12,2011,non fiction
to kill a mockingbird,harper lee,4.8,26234,0,2013,fiction
to kill a mockingbird,harper lee,4.8,26234,0,2014,fiction
to kill a mockingbird,harper lee,4.8,26234,0,2015,fiction
to kill a mockingbird,harper lee,4.8,26234,0,2016,fiction
to kill a mockingbird,harper lee,4.8,26234,7,2019,fiction
"tools of titans: the tactics, routines, and habits of billionaires, icons, and world-class performers",timothy ferriss,4.6,4360,21,2017,non fiction
"towers of midnight (wheel of time, book thirteen)",robert jordan,4.8,2282,21,2010,fiction
true compass: a memoir,edward m. kennedy,4.5,438,15,2009,non fiction
"twilight (the twilight saga, book 1)",stephenie meyer,4.7,11676,9,2009,fiction
ultimate sticker book: frozen: more than 60 reusable full-color stickers,dk,4.5,2586,5,2014,fiction
"unbroken: a world war ii story of survival, resilience, and redemption",laura hillenbrand,4.8,29673,16,2010,non fiction
"unbroken: a world war ii story of survival, resilience, and redemption",laura hillenbrand,4.8,29673,16,2011,non fiction
"unbroken: a world war ii story of survival, resilience, and redemption",laura hillenbrand,4.8,29673,16,2012,non fiction
"unbroken: a world war ii story of survival, resilience, and redemption",laura hillenbrand,4.8,29673,13,2014,non fiction
"unbroken: a world war ii story of survival, resilience, and redemption",laura hillenbrand,4.8,29673,16,2014,non fiction
under the dome: a novel,stephen king,4.3,6740,20,2009,fiction
unfreedom of the press,mark r. levin,4.9,5956,11,2019,non fiction
unicorn coloring book: for kids ages 4-8 (us edition) (silly bear coloring books),silly bear,4.8,6108,4,2019,non fiction
"uninvited: living loved when you feel less than, left out, and lonely",lysa terkeurst,4.7,4585,9,2016,non fiction
watchmen,alan moore,4.8,3829,42,2009,fiction
water for elephants: a novel,sara gruen,4.5,8958,12,2011,fiction
what happened,hillary rodham clinton,4.6,5492,18,2017,non fiction
what if?: serious scientific answers to absurd hypothetical questions,randall munroe,4.7,9292,17,2014,non fiction
what pet should i get? (classic seuss),dr. seuss,4.7,1873,14,2015,fiction
what should danny do? (the power to choose series),adir levy,4.8,8170,13,2019,fiction
what to expect when you're expecting,heidi murkoff,4.4,3341,9,2011,non fiction
"wheat belly: lose the wheat, lose the weight, and find your path back to health",william davis,4.4,7497,6,2012,non fiction
"wheat belly: lose the wheat, lose the weight, and find your path back to health",william davis,4.4,7497,6,2013,non fiction
when breath becomes air,paul kalanithi,4.8,13779,14,2016,non fiction
where the crawdads sing,delia owens,4.8,87841,15,2019,fiction
where the wild things are,maurice sendak,4.8,9967,13,2009,fiction
whose boat is this boat?: comments that don't help in the aftermath of a hurricane,the staff of the late show with,4.6,6669,12,2018,non fiction
wild: from lost to found on the pacific crest trail,cheryl strayed,4.4,17044,18,2012,non fiction
winter of the world: book two of the century trilogy,ken follett,4.5,10760,15,2012,fiction
women food and god: an unexpected path to almost everything,geneen roth,4.2,1302,11,2010,non fiction
wonder,r. j. palacio,4.8,21625,9,2013,fiction
wonder,r. j. palacio,4.8,21625,9,2014,fiction
wonder,r. j. palacio,4.8,21625,9,2015,fiction
wonder,r. j. palacio,4.8,21625,9,2016,fiction
wonder,r. j. palacio,4.8,21625,9,2017,fiction
wrecking ball (diary of a wimpy kid book 14),jeff kinney,4.9,9413,8,2019,fiction
you are a badass: how to stop doubting your greatness and start living an awesome life,jen sincero,4.7,14331,8,2016,non fiction
you are a badass: how to stop doubting your greatness and start living an awesome life,jen sincero,4.7,14331,8,2017,non fiction
you are a badass: how to stop doubting your greatness and start living an awesome life,jen sincero,4.7,14331,8,2018,non fiction
you are a badass: how to stop doubting your greatness and start living an awesome life,jen sincero,4.7,14331,8,2019,non fiction
